Time,Load
20240119 19:00,72985.18
20240119 19:30,75342.97
20240119 20:00,77626.82
20240119 20:30,78993.33
20240119 21:00,79404.18
20240119 21:30,78705.94
20240119 22:00,76789.67
20240119 22:30,74405.61
20240119 23:00,84939.56
20240119 23:30,85367.38
20240120 00:00,83773.08
20240120 00:30,81136.02
20240120 01:00,93607.06
20240120 01:30,97959.93
20240120 02:00,101324.89
20240120 02:30,104052.12
20240120 03:00,105998.71
20240120 03:30,105673.02
20240120 04:00,104869.59
20240120 04:30,102218.05
20240120 05:00,96245.1
20240120 05:30,88881.73
20240120 06:00,78283.64
20240120 06:30,73842.82
20240120 07:00,66643.93
20240120 07:30,73806.78
20240120 08:00,78572.86
20240120 08:30,80327.56
20240120 09:00,84302.25
20240120 09:30,82791.37
20240120 10:00,80517.46
20240120 10:30,88296.5
20240120 11:00,92123.22
20240120 11:30,90705.52
20240120 12:00,95054.55
20240120 12:30,99690.77
20240120 13:00,97103.89
20240120 13:30,80698.13
20240120 14:00,73940.94
20240120 14:30,78573.2
20240120 15:00,66673.28
20240120 15:30,66817.62
20240120 16:00,68497.57
20240120 16:30,70823.25
20240120 17:00,78683.43
20240120 17:30,85099.01
20240120 18:00,89218.89
20240120 18:30,91426.01
20240120 19:00,92263.77
20240120 19:30,92611.04
20240120 20:00,93051.61
20240120 20:30,93239.09
20240120 21:00,92684.15
20240120 21:30,90706.3
20240120 22:00,87343.66
20240120 22:30,83446.34
20240120 23:00,94003.22
20240120 23:30,94929.9
20240121 00:00,94483.82
20240121 00:30,92136.2
20240121 01:00,104751.2
20240121 01:30,107500.93
20240121 02:00,109561.54
20240121 02:30,110436.77
20240121 03:00,110517.8
20240121 03:30,108333.36
20240121 04:00,105001.57
20240121 04:30,99537.28
20240121 05:00,90797.88
20240121 05:30,80986.72
20240121 06:00,69995.99
20240121 06:30,66235.95
20240121 07:00,59496.47
20240121 07:30,63891.63
20240121 08:00,68726.84
20240121 08:30,70907.84
20240121 09:00,73092.89
20240121 09:30,75620.75
20240121 10:00,76689.43
20240121 10:30,78941.61
20240121 11:00,81135.61
20240121 11:30,84664.44
20240121 12:00,80000.17
20240121 12:30,80186.43
20240121 13:00,80401.44
20240121 13:30,77245.34
20240121 14:00,76808.18
20240121 14:30,81895.01
20240121 15:00,71595.44
20240121 15:30,70054.29
20240121 16:00,67435.77
20240121 16:30,67907.39
20240121 17:00,76866.41
20240121 17:30,83884.25
20240121 18:00,88024.4
20240121 18:30,89470.22
20240121 19:00,89641.48
20240121 19:30,89326.15
20240121 20:00,89023.17
20240121 20:30,88230.56
20240121 21:00,86475.49
20240121 21:30,82951.23
20240121 22:00,78918.21
20240121 22:30,74407.96
20240121 23:00,83054.93
20240121 23:30,82595.73
20240122 00:00,80884.86
20240122 00:30,78365.09
20240122 01:00,90952.94
20240122 01:30,95423.97
20240122 02:00,98996
20240122 02:30,101958.5
20240122 03:00,104234.38
20240122 03:30,104761.53
20240122 04:00,105208.47
20240122 04:30,104241.27
20240122 05:00,101274.39
20240122 05:30,97402.08
20240122 06:00,91002.46
20240122 06:30,88068.79
20240122 07:00,70880.38
20240122 07:30,65388.94
20240122 08:00,72646.9
20240122 08:30,87079.66
20240122 09:00,95475.41
20240122 09:30,93742.67
20240122 10:00,89529.48
20240122 10:30,89805.15
20240122 11:00,104456.11
20240122 11:30,101013.28
20240122 12:00,100092.71
20240122 12:30,103817.98
20240122 13:00,96211.89
20240122 13:30,93701.14
20240122 14:00,94335.53
20240122 14:30,81213.25
20240122 15:00,57751.22
20240122 15:30,49123.34
20240122 16:00,45119.72
20240122 16:30,45779.38
20240122 17:00,52875.18
20240122 17:30,59321.15
20240122 18:00,64918.66
20240122 18:30,68798.86
20240122 19:00,71415.67
20240122 19:30,72655.67
20240122 20:00,73632.86
20240122 20:30,73969.59
