Time,Load
20240120 04:00,94296.32
20240120 04:30,92133.17
20240120 05:00,87293.67
20240120 05:30,80448.88
20240120 06:00,71246.49
20240120 06:30,65923
20240120 07:00,57937.71
20240120 07:30,60537.21
20240120 08:00,62046.15
20240120 08:30,61854.13
20240120 09:00,61886.71
20240120 09:30,59674.7
20240120 10:00,58924.59
20240120 10:30,57958.52
20240120 11:00,58592.99
20240120 11:30,59654.23
20240120 12:00,61288.26
20240120 12:30,61723.21
20240120 13:00,59732.84
20240120 13:30,59106.94
20240120 14:00,59006.8
20240120 14:30,56204.37
20240120 15:00,54813.86
20240120 15:30,59807.77
20240120 16:00,63337.67
20240120 16:30,69954.68
20240120 17:00,78239.76
20240120 17:30,84181.71
20240120 18:00,87842.69
20240120 18:30,89521.35
20240120 19:00,89966.2
20240120 19:30,89711.7
20240120 20:00,89789.77
20240120 20:30,90189.21
20240120 21:00,90071.66
20240120 21:30,88008.59
20240120 22:00,84686.81
20240120 22:30,81195.16
20240120 23:00,89392.42
20240120 23:30,89750.46
20240121 00:00,88231.31
20240121 00:30,85532.89
20240121 01:00,95522.09
20240121 01:30,97805.18
20240121 02:00,99604.86
20240121 02:30,100494.07
20240121 03:00,100934.5
20240121 03:30,99707.23
20240121 04:00,97508.08
20240121 04:30,93375.83
20240121 05:00,86491.64
20240121 05:30,78118
20240121 06:00,68378.7
20240121 06:30,64165.23
20240121 07:00,58525.71
20240121 07:30,63052.26
20240121 08:00,66843.17
20240121 08:30,68734.36
20240121 09:00,71099.25
20240121 09:30,68328.4
20240121 10:00,66051.3
20240121 10:30,65169.82
20240121 11:00,65887.4
20240121 11:30,65655.45
20240121 12:00,64676.13
20240121 12:30,63219.99
20240121 13:00,60977.69
20240121 13:30,57821.16
20240121 14:00,55146.12
20240121 14:30,53593.89
20240121 15:00,53055.25
20240121 15:30,53834.03
20240121 16:00,54717.32
20240121 16:30,61773.07
20240121 17:00,71449.69
20240121 17:30,78415.15
20240121 18:00,82577.35
20240121 18:30,84110.26
20240121 19:00,84329.53
20240121 19:30,83743.47
20240121 20:00,83760.77
20240121 20:30,83324.6
20240121 21:00,82534.02
20240121 21:30,79529.11
20240121 22:00,75854.59
20240121 22:30,71661.72
20240121 23:00,79058.84
20240121 23:30,78411.72
20240122 00:00,76047.52
20240122 00:30,72880.74
20240122 01:00,83027.75
20240122 01:30,87066.78
20240122 02:00,90215.1
20240122 02:30,92952.05
20240122 03:00,95287.95
20240122 03:30,95924.46
20240122 04:00,96350.72
20240122 04:30,95601.21
20240122 05:00,93422.13
20240122 05:30,89926.53
20240122 06:00,84600.56
20240122 06:30,81001.93
20240122 07:00,64267.99
20240122 07:30,51844.81
20240122 08:00,44179.15
20240122 08:30,40659.07
20240122 09:00,39211.67
20240122 09:30,45577.02
20240122 10:00,44032.79
20240122 10:30,42443.19
20240122 11:00,40264.27
20240122 11:30,36430.21
20240122 12:00,37727.29
20240122 12:30,37712.68
20240122 13:00,34455.69
20240122 13:30,31193.32
20240122 14:00,30943.89
20240122 14:30,30459.34
20240122 15:00,33061.8
20240122 15:30,37208.7
20240122 16:00,40461.85
20240122 16:30,46539.19
20240122 17:00,54822.88
20240122 17:30,61259.68
20240122 18:00,66442.8
20240122 18:30,69979.57
20240122 19:00,72141.93
20240122 19:30,72765.85
20240122 20:00,73957.9
20240122 20:30,74488.43
20240122 21:00,74150.15
20240122 21:30,72148.67
20240122 22:00,69535.33
20240122 22:30,66303.82
